dataset,biome_label_scheme,rank,genus,phylum,full_lineage,MeanDecreaseAccuracy,MeanDecreaseGini
EMP_Soil_Subset,original_biomes,13,Geobacter,Desulfobacterota,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter,7.9812,16.2532
EMP_Soil_Subset,original_biomes,14,Candidatus Nitrososphaera,Crenarchaeota,Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera,7.7439,5.7424
EMP_Soil_Subset,original_biomes,15,BIrii41,Myxococcota,Bacteria;Myxococcota;Polyangia;Polyangiales;BIrii41,7.5548,9.891
EMP_Soil_Subset,original_biomes,16,Rubrobacter,Actinobacteriota,Bacteria;Actinobacteriota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter,7.5083,6.2926
EMP_Soil_Subset,original_biomes,17,NB1-j,NB1-j,Bacteria;NB1-j,7.5039,1.9402
EMP_Soil_Subset,original_biomes,18,Desulfobacterota,Desulfobacterota,Bacteria;Desulfobacterota,7.4516,3.4483
EMP_Soil_Subset,original_biomes,19,Flavisolibacter,Bacteroidota,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter,7.4121,3.6851
EMP_Soil_Subset,original_biomes,20,Subgroup 2,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2,7.361,3.2974
EMP_Soil_Subset,original_biomes,21,AD3,Chloroflexi,Bacteria;Chloroflexi;AD3,7.115,4.2681
EMP_Soil_Subset,original_biomes,22,Anaerolineaceae,Chloroflexi,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae,6.9909,2.9794
EMP_Soil_Subset,original_biomes,23,Blastococcus,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus,6.9821,4.0143
EMP_Soil_Subset,original_biomes,24,Enterobacterales,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,6.9682,4.0953
EMP_Soil_Subset,original_biomes,25,Nitrososphaeraceae,Crenarchaeota,Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae,6.9681,4.369
EMP_Soil_Subset,original_biomes,26,Xanthomonadaceae,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae,6.956,5.8322
EMP_Soil_Subset,original_biomes,27,Woesearchaeales,Nanoarchaeota,Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,6.9395,2.3343
EMP_Soil_Subset,original_biomes,28,Geobacteraceae,Desulfobacterota,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae,6.9074,7.713
EMP_Soil_Subset,original_biomes,29,Acidothermus,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus,6.87,4.2515
EMP_Soil_Subset,original_biomes,30,Pseudolabrys,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys,6.8539,8.7237
EMP_Soil_Subset,original_biomes,31,Yersinia,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia,6.8307,5.7808
EMP_Soil_Subset,original_biomes,32,RCP2-54,RCP2-54,Bacteria;RCP2-54,6.7979,3.4282
EMP_Soil_Subset,original_biomes,33,Gaiellales,Actinobacteriota,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales,6.7002,2.9498
EMP_Soil_Subset,original_biomes,34,Stenotrophobacter,Acidobacteriota,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter,6.6412,5.8075
EMP_Soil_Subset,original_biomes,35,Phyllobacterium,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium,6.6345,4.0364
EMP_Soil_Subset,original_biomes,36,Ellin516,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;Ellin516,6.62,12.0092
EMP_Soil_Subset,original_biomes,37,MBNT15,MBNT15,Bacteria;MBNT15,6.5358,5.0043
EMP_Soil_Subset,original_biomes,38,Rhodomicrobium,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodomicrobiaceae;Rhodomicrobium,6.446,3.6798
EMP_Soil_Subset,original_biomes,39,Blastocatellaceae,Acidobacteriota,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae,6.4418,2.8413
EMP_Soil_Subset,original_biomes,40,JGI 0001001-H03,Acidobacteriota,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;JGI 0001001-H03,6.4155,8.1723
EMP_Soil_Subset,original_biomes,41,Subgroup 5,Acidobacteriota,Bacteria;Acidobacteriota;Subgroup 5,6.3734,10.3321
EMP_Soil_Subset,original_biomes,42,Crossiella,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Crossiella,6.3586,3.4072
EMP_Soil_Subset,original_biomes,43,Sulfurovum,Campylobacterota,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum,6.345,8.7822
EMP_Soil_Subset,original_biomes,44,KI89A clade,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade,6.2922,3.11
EMP_Soil_Subset,original_biomes,45,JG36-TzT-191,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;JG36-TzT-191,6.2296,1.1734
EMP_Soil_Subset,original_biomes,46,Bradyrhizobium,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium,6.0652,2.8504
EMP_Soil_Subset,original_biomes,47,Rhizobiales Incertae Sedis,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis,6.032,3.787
EMP_Soil_Subset,original_biomes,48,Planctomycetales,Planctomycetota,Bacteria;Planctomycetota;Planctomycetes;Planctomycetales,6.0299,8.2283
EMP_Soil_Subset,original_biomes,49,Ramlibacter,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter,6.0261,2.9656
EMP_Soil_Subset,original_biomes,50,Oryzihumus,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus,5.8542,1.3026
EMP_Soil_Subset,grouped_biomes,1,Paenibacillus,Firmicutes,Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus,10.1871,12.5442
EMP_Soil_Subset,grouped_biomes,2,ADurb.Bin063-1,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;ADurb.Bin063-1,9.5433,16.2878
EMP_Soil_Subset,grouped_biomes,3,Planococcaceae,Firmicutes,Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae,9.4569,5.9545
EMP_Soil_Subset,grouped_biomes,4,Asanoa,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Asanoa,9.0496,7.3485
EMP_Soil_Subset,grouped_biomes,5,Sphingomonas,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas,8.5609,5.999
EMP_Soil_Subset,grouped_biomes,6,Pseudonocardia,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia,8.442,7.2987
EMP_Soil_Subset,grouped_biomes,7,Candidatus Nitrososphaera,Crenarchaeota,Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera,8.1883,5.7922
EMP_Soil_Subset,grouped_biomes,8,Gaiellales,Actinobacteriota,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales,8.1847,4.4218
EMP_Soil_Subset,grouped_biomes,9,Citrifermentans,Desulfobacterota,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans,8.1719,17.3107
EMP_Soil_Subset,grouped_biomes,10,Blastococcus,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus,8.108,5.2578
EMP_Soil_Subset,grouped_biomes,11,Pseudarthrobacter,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter,8.0716,3.0341
EMP_Soil_Subset,grouped_biomes,12,Candidatus Udaeobacter,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus Udaeobacter,8.0624,12.5512
EMP_Soil_Subset,grouped_biomes,13,Actinobacteriota,Actinobacteriota,Bacteria;Actinobacteriota,8.0587,6.4343
